Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1927/28,1st,Frank Borzage ,7th Heaven,Best Director,https://en.wikipedia.org/wiki/Frank Borzage ,https://upload.wikimedia.org/wikipedia/commons/6/6f/Frank_Borzage_001.JPG,"Salt Lake City, Utah, U.S.",1894,34
1928/1929,2nd,Frank Lloyd,The Divine Lady,Best Director,https://en.wikipedia.org/wiki/Frank Lloyd,https://upload.wikimedia.org/wikipedia/commons/f/fa/Frank_Lloyd%2C_Boxoffice_Barometer%2C_1939.jpg,"Glasgow, Scotland, UK",Unknown,Unknown
1929/1930,3rd,Lewis Milestone,All Quiet on the Western Front,Best Director,https://en.wikipedia.org/wiki/Lewis Milestone,https://upload.wikimedia.org/wikipedia/commons/d/d6/Milestone1.jpg,"Chişinău, Bessarabia, Russian Empire (now Moldova)",1895,35
1930/1931,4th,Norman Taurog,Skippy,Best Director,https://en.wikipedia.org/wiki/Norman Taurog,https://upload.wikimedia.org/wikipedia/en/d/d7/Norman_Taurog.jpg,"Chicago, Illinois, United States",1899,32
1931/1932,5th,Frank Borzage,Bad Girl,Best Director,https://en.wikipedia.org/wiki/Frank Borzage,https://upload.wikimedia.org/wikipedia/commons/6/6f/Frank_Borzage_001.JPG,"Salt Lake City, Utah, U.S.",1894,38
1932/1933,6th,Frank Lloyd,Cavalcade,Best Director,https://en.wikipedia.org/wiki/Frank Lloyd,https://upload.wikimedia.org/wikipedia/commons/f/fa/Frank_Lloyd%2C_Boxoffice_Barometer%2C_1939.jpg,"Glasgow, Scotland, UK",Unknown,Unknown
1934,7th,Frank Capra,It Happened One Night,Best Director,https://en.wikipedia.org/wiki/Frank Capra,https://upload.wikimedia.org/wikipedia/commons/7/77/Frank_Capra.jpg,"Bisacquino, Italy",1897,37
1935,8th,John Ford,The Informer,Best Director,https://en.wikipedia.org/wiki/John Ford,https://upload.wikimedia.org/wikipedia/commons/0/04/John_Ford_1946.jpg,"Cape Elizabeth, Maine, U.S.",1894,41
1936,9th,Frank Capra,Mr. Deeds Goes to Town,Best Director,https://en.wikipedia.org/wiki/Frank Capra,https://upload.wikimedia.org/wikipedia/commons/7/77/Frank_Capra.jpg,"Bisacquino, Italy",1897,39
1937,10th,Leo McCarey,The Awful Truth,Best Director,https://en.wikipedia.org/wiki/Leo McCarey,https://upload.wikimedia.org/wikipedia/en/8/83/Leo_McCarey.jpg,"Los Angeles, California, U.S.",1898,39
1938,11th,Frank Capra,You Can't Take It with You,Best Director,https://en.wikipedia.org/wiki/Frank Capra,https://upload.wikimedia.org/wikipedia/commons/7/77/Frank_Capra.jpg,"Bisacquino, Italy",1897,41
1939,12th,Victor Fleming,Gone with the Wind,Best Director,https://en.wikipedia.org/wiki/Victor Fleming,https://upload.wikimedia.org/wikipedia/en/8/89/Victor_Fleming_01.jpg,"La Cañada Flintridge, California; US",1889,50
1940,13th,John Ford,The Grapes of Wrath,Best Director,https://en.wikipedia.org/wiki/John Ford,https://upload.wikimedia.org/wikipedia/commons/0/04/John_Ford_1946.jpg,"Cape Elizabeth, Maine, U.S.",1894,46
1941,14th,John Ford,How Green Was My Valley,Best Director,https://en.wikipedia.org/wiki/John Ford,https://upload.wikimedia.org/wikipedia/commons/0/04/John_Ford_1946.jpg,"Cape Elizabeth, Maine, U.S.",1894,47
