Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year,Age Awarded
1927/28,1st,Emil Jannings,The Last CommandThe Way of All Flesh,Best Actor,https://en.wikipedia.org/wiki/Emil Jannings,"Rorschach, Switzerland",1884,44
1928/29,2nd,Warner Baxter,In Old Arizona,Best Actor,https://en.wikipedia.org/wiki/Warner Baxter,"Columbus, Ohio, U.S.",1889,40
1929/30,3rd,George Arliss,Disraeli,Best Actor,https://en.wikipedia.org/wiki/George Arliss,"London, England, UK",1868,62
1930/31,4th,Lionel Barrymore,A Free Soul,Best Actor,https://en.wikipedia.org/wiki/Lionel Barrymore,"Philadelphia, Pennsylvania, U.S.",1878,53
1931/32,5th,Wallace Beery,The Champ,Best Actor,https://en.wikipedia.org/wiki/Wallace Beery,"Clay County, Missouri, U.S.",1885,47
1931/32,5th,Fredric March,Dr. Jekyll and Mr. Hyde,Best Actor,https://en.wikipedia.org/wiki/Fredric March,"Racine, Wisconsin, U.S.",1897,35
1932/33,6th,Charles Laughton,The Private Life of Henry VIII,Best Actor,https://en.wikipedia.org/wiki/Charles Laughton,"Scarborough, North Riding of Yorkshire, England",1899,34
1934,7th,Clark Gable,It Happened One Night,Best Actor,https://en.wikipedia.org/wiki/Clark Gable,"Cadiz, Ohio, U.S.",1901,33
1935,8th,Victor McLaglen,The Informer,Best Actor,https://en.wikipedia.org/wiki/Victor McLaglen,"Stepney, East London, England, UK",1886,49
1936,9th,Paul Muni,The Story of Louis Pasteur,Best Actor,https://en.wikipedia.org/wiki/Paul Muni,"Lemberg, Austro-Hungarian Empire (present day Lviv, Ukraine)",1895,41
1937,10th,Spencer Tracy,Captains Courageous,Best Actor,https://en.wikipedia.org/wiki/Spencer Tracy,"Milwaukee, Wisconsin, U.S.",1900,37
1938,11th,Spencer Tracy,Boys Town,Best Actor,https://en.wikipedia.org/wiki/Spencer Tracy,"Milwaukee, Wisconsin, U.S.",1900,38
1939,12th,Robert Donat,"Goodbye, Mr. Chips",Best Actor,https://en.wikipedia.org/wiki/Robert Donat,"Withington, Manchester, Lancashire, England",1905,34
1940,13th,James Stewart,The Philadelphia Story,Best Actor,https://en.wikipedia.org/wiki/James Stewart,"Indiana, Pennsylvania, U.S.",1908,32
1941,14th,Gary Cooper,Sergeant York,Best Actor,https://en.wikipedia.org/wiki/Gary Cooper,"Helena, Montana, U.S.",1901,40
1942,15th,James Cagney,Yankee Doodle Dandy,Best Actor,https://en.wikipedia.org/wiki/James Cagney,"New York City, U.S.",1899,43
1943,16th,Paul Lukas,Watch on the Rhine,Best Actor,https://en.wikipedia.org/wiki/Paul Lukas,"Budapest, Austria-Hungary",1894,49
1944,17th,Bing Crosby,Going My Way,Best Actor,https://en.wikipedia.org/wiki/Bing Crosby,"Tacoma, Washington, U.S.",1903,41
1945,18th,Ray Milland,The Lost Weekend,Best Actor,https://en.wikipedia.org/wiki/Ray Milland,"Neath, Glamorgan, Wales",1907,38
1946,19th,Fredric March,The Best Years of Our Lives,Best Actor,https://en.wikipedia.org/wiki/Fredric March,"Racine, Wisconsin, U.S.",1897,49
1947,20th,Ronald Colman,A Double Life,Best Actor,https://en.wikipedia.org/wiki/Ronald Colman,"Richmond, Surrey, England, UK",1891,56
1948,21st,Laurence Olivier,Hamlet,Best Actor,https://en.wikipedia.org/wiki/Laurence Olivier,Unknown,Unknown,Unknown
1949,22nd,Broderick Crawford,All the King's Men,Best Actor,https://en.wikipedia.org/wiki/Broderick Crawford,"Philadelphia, Pennsylvania, U.S.",1911,38
1950,23rd,José Ferrer,Cyrano de Bergerac,Best Actor,https://en.wikipedia.org/wiki/José Ferrer,"San Juan, Puerto Rico",1912,38
1951,24th,Humphrey Bogart,The African Queen,Best Actor,https://en.wikipedia.org/wiki/Humphrey Bogart,"New York City, U.S.",1899,52
1952,25th,Gary Cooper,High Noon,Best Actor,https://en.wikipedia.org/wiki/Gary Cooper,"Helena, Montana, U.S.",1901,51
1953,26th,William Holden,Stalag 17,Best Actor,https://en.wikipedia.org/wiki/William Holden,"O'Fallon, Illinois, U.S.",1918,35
1954,27th,Marlon Brando,On the Waterfront,Best Actor,https://en.wikipedia.org/wiki/Marlon Brando,"Omaha, Nebraska, U.S.",1924,30
1955,28th,Ernest Borgnine,Marty,Best Actor,https://en.wikipedia.org/wiki/Ernest Borgnine,"Hamden, Connecticut, U.S.",1917,38
1956,29th,Yul Brynner,The King and I,Best Actor,https://en.wikipedia.org/wiki/Yul Brynner,"Vladivostok, Maritime Province, Far Eastern Republic, Russian SFSR (present-day Primorsky Krai, Far Eastern Federal District, Russian Federation)",1920,36
1957,30th,Alec Guinness,The Bridge on the River Kwai,Best Actor,https://en.wikipedia.org/wiki/Alec Guinness,"Maida Vale, London, England",1914,43
1958,31st,David Niven,Separate Tables,Best Actor,https://en.wikipedia.org/wiki/David Niven,"Belgravia, London, England, United Kingdom",1910,48
1959,32nd,Charlton Heston,Ben-Hur,Best Actor,https://en.wikipedia.org/wiki/Charlton Heston,"Wilmette, Illinois, U.S.",1923,36
1960,33rd,Burt Lancaster,Elmer Gantry,Best Actor,https://en.wikipedia.org/wiki/Burt Lancaster,"Manhattan, New York, U.S.",1913,47
1961,34th,Maximilian Schell,Judgment at Nuremberg,Best Actor,https://en.wikipedia.org/wiki/Maximilian Schell,"Vienna, Austria",1930,31
1962,35th,Gregory Peck,To Kill a Mockingbird,Best Actor,https://en.wikipedia.org/wiki/Gregory Peck,"San Diego, California, U.S.",1916,46
1963,36th,Sidney Poitier,Lilies of the Field,Best Actor,https://en.wikipedia.org/wiki/Sidney Poitier,Unknown,1927,36
1964,37th,Rex Harrison,My Fair Lady,Best Actor,https://en.wikipedia.org/wiki/Rex Harrison,"Huyton, Lancashire, England",1908,56
1965,38th,Lee Marvin,Cat Ballou,Best Actor,https://en.wikipedia.org/wiki/Lee Marvin,"New York City, U.S.",1924,41
1966,39th,Paul Scofield,A Man for All Seasons,Best Actor,https://en.wikipedia.org/wiki/Paul Scofield,"Birmingham, Warwickshire, England",1922,44
1967,40th,Rod Steiger,In the Heat of the Night,Best Actor,https://en.wikipedia.org/wiki/Rod Steiger,Unknown,Unknown,Unknown
1968,41st,Cliff Robertson,Charly,Best Actor,https://en.wikipedia.org/wiki/Cliff Robertson,"La Jolla, California, U.S.",1923,45
1969,42nd,John Wayne,True Grit,Best Actor,https://en.wikipedia.org/wiki/John Wayne,"Winterset, Iowa, U.S.",1907,62
