Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year,Age Awarded
1927/28,1st,Janet Gaynor,7th HeavenStreet AngelSunrise: A Song of Two Humans,Best Actress,https://en.wikipedia.org/wiki/Janet Gaynor,"Germantown, Pennsylvania, U.S.",1906,22
1928/29,2nd,Mary Pickford,Coquette,Best Actress,https://en.wikipedia.org/wiki/Mary Pickford,"Toronto, Ontario, Canada",1892,37
1929/30,3rd,Norma Shearer,The Divorcee,Best Actress,https://en.wikipedia.org/wiki/Norma Shearer,"Montreal, Quebec, Canada",1902,28
1930/31,4th,Marie Dressler,Min and Bill,Best Actress,https://en.wikipedia.org/wiki/Marie Dressler,"Cobourg, Ontario, Canada",1868,63
1931/32,5th,Helen Hayes,The Sin of Madelon Claudet,Best Actress,https://en.wikipedia.org/wiki/Helen Hayes,"Washington, D.C., U.S.",1900,32
1932/33,6th,Katharine Hepburn,Morning Glory,Best Actress,https://en.wikipedia.org/wiki/Katharine Hepburn,"Hartford, Connecticut, U.S.",1907,26
1934,7th,Claudette Colbert,It Happened One Night,Best Actress,https://en.wikipedia.org/wiki/Claudette Colbert,"Saint-Mandé, France",1903,31
1935,8th,Bette Davis,Dangerous,Best Actress,https://en.wikipedia.org/wiki/Bette Davis,"Lowell, Massachusetts, U.S.",1908,27
1936,9th,Luise Rainer,The Great Ziegfeld,Best Actress,https://en.wikipedia.org/wiki/Luise Rainer,"Düsseldorf, Prussia, German Empire",1910,26
1937,10th,Luise Rainer,The Good Earth,Best Actress,https://en.wikipedia.org/wiki/Luise Rainer,"Düsseldorf, Prussia, German Empire",1910,27
1938,11th,Bette Davis,Jezebel,Best Actress,https://en.wikipedia.org/wiki/Bette Davis,"Lowell, Massachusetts, U.S.",1908,30
1939,12th,Vivien Leigh,Gone with the Wind,Best Actress,https://en.wikipedia.org/wiki/Vivien Leigh,"Darjeeling, Bengal Presidency, British India",1913,26
1940,13th,Ginger Rogers,Kitty Foyle,Best Actress,https://en.wikipedia.org/wiki/Ginger Rogers,"Independence, Missouri, U.S.",1911,29
1941,14th,Joan Fontaine,Suspicion,Best Actress,https://en.wikipedia.org/wiki/Joan Fontaine,"Tokyo, Empire of Japan",1917,24
1942,15th,Greer Garson,Mrs. Miniver,Best Actress,https://en.wikipedia.org/wiki/Greer Garson,"Manor Park, East Ham, Essex, England",1904,38
1943,16th,Jennifer Jones,The Song of Bernadette,Best Actress,https://en.wikipedia.org/wiki/Jennifer Jones,"Tulsa, Oklahoma, U.S.",1919,24
1944,17th,Ingrid Bergman,Gaslight,Best Actress,https://en.wikipedia.org/wiki/Ingrid Bergman,"Stockholm, Sweden",1915,29
1945,18th,Joan Crawford,Mildred Pierce,Best Actress,https://en.wikipedia.org/wiki/Joan Crawford,"San Antonio, Texas, U.S.",Unknown,Unknown
1946,19th,Olivia de Havilland,To Each His Own,Best Actress,https://en.wikipedia.org/wiki/Olivia de Havilland,"Tokyo, Empire of Japan",1916,30
1947,20th,Loretta Young,The Farmer's Daughter,Best Actress,https://en.wikipedia.org/wiki/Loretta Young,"Salt Lake City, Utah, U.S.",1913,34
1948,21st,Jane Wyman,Johnny Belinda,Best Actress,https://en.wikipedia.org/wiki/Jane Wyman,"Saint Joseph, Missouri, U.S.",1917,31
1949,22nd,Olivia de Havilland,The Heiress,Best Actress,https://en.wikipedia.org/wiki/Olivia de Havilland,"Tokyo, Empire of Japan",1916,33
1950,23rd,Judy Holliday,Born Yesterday,Best Actress,https://en.wikipedia.org/wiki/Judy Holliday,"Lower East Side, Manhattan, New York City, U.S.",1921,29
1951,24th,Vivien Leigh,A Streetcar Named Desire,Best Actress,https://en.wikipedia.org/wiki/Vivien Leigh,"Darjeeling, Bengal Presidency, British India",1913,38
1952,25th,Shirley Booth,"Come Back, Little Sheba",Best Actress,https://en.wikipedia.org/wiki/Shirley Booth,"Brooklyn, New York, U.S.",1898,54
1953,26th,Audrey Hepburn,Roman Holiday,Best Actress,https://en.wikipedia.org/wiki/Audrey Hepburn,"Ixelles, Brussels, Belgium",1929,24
1954,27th,Grace Kelly,The Country Girl,Best Actress,https://en.wikipedia.org/wiki/Grace Kelly,Unknown,1929,25
1955,28th,Anna Magnani,The Rose Tattoo,Best Actress,https://en.wikipedia.org/wiki/Anna Magnani,"Rome, Kingdom of Italy",1908,47
1956,29th,Ingrid Bergman,Anastasia,Best Actress,https://en.wikipedia.org/wiki/Ingrid Bergman,"Stockholm, Sweden",1915,41
1957,30th,Joanne Woodward,The Three Faces of Eve,Best Actress,https://en.wikipedia.org/wiki/Joanne Woodward,"Thomasville, Georgia, U.S.",1930,27
1958,31st,Susan Hayward,I Want to Live!,Best Actress,https://en.wikipedia.org/wiki/Susan Hayward,"Brooklyn, New York, U.S.",1917,41
1959,32nd,Simone Signoret,Room at the Top,Best Actress,https://en.wikipedia.org/wiki/Simone Signoret,"Wiesbaden, Germany",1921,38
1960,33rd,Elizabeth Taylor,BUtterfield 8,Best Actress,https://en.wikipedia.org/wiki/Elizabeth Taylor,"London, England",1932,28
1961,34th,Sophia Loren,Two Women,Best Actress,https://en.wikipedia.org/wiki/Sophia Loren,"Rome, Kingdom of Italy",1934,27
1962,35th,Anne Bancroft,The Miracle Worker,Best Actress,https://en.wikipedia.org/wiki/Anne Bancroft,"The Bronx, New York, U.S.",1931,31
1963,36th,Patricia Neal,Hud,Best Actress,https://en.wikipedia.org/wiki/Patricia Neal,"Packard, Kentucky, U.S.",1926,37
1964,37th,Julie Andrews,Mary Poppins,Best Actress,https://en.wikipedia.org/wiki/Julie Andrews,"Walton-on-Thames, Surrey, England",1935,29
1965,38th,Julie Christie,Darling,Best Actress,https://en.wikipedia.org/wiki/Julie Christie,"Chabua, Assam, British India",1940,25
1966,39th,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,Best Actress,https://en.wikipedia.org/wiki/Elizabeth Taylor,"London, England",1932,34
1967,40th,Katharine Hepburn,Guess Who's Coming to Dinner,Best Actress,https://en.wikipedia.org/wiki/Katharine Hepburn,"Hartford, Connecticut, U.S.",1907,60
1968,41st,Katharine Hepburn,The Lion in Winter,Best Actress,https://en.wikipedia.org/wiki/Katharine Hepburn,"Hartford, Connecticut, U.S.",1907,61
1968,41st,Barbra Streisand,Funny Girl,Best Actress,https://en.wikipedia.org/wiki/Barbra Streisand,"New York City, U.S.",1942,26
