Years,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year
1936 (9th),Walter Brennan,Come and Get It,BestSupportingActor,https://en.wikipedia.org/wiki/Walter Brennan,"Lynn, Massachusetts, U.S.",1894
1937 (10th),Joseph Schildkraut,The Life of Emile Zola,BestSupportingActor,https://en.wikipedia.org/wiki/Joseph Schildkraut,"Vienna, Austria-Hungary (now Austria)",1896
1938 (11th),Walter Brennan,Kentucky,BestSupportingActor,https://en.wikipedia.org/wiki/Walter Brennan,"Lynn, Massachusetts, U.S.",1894
1939 (12th),Thomas Mitchell,Stagecoach,BestSupportingActor,https://en.wikipedia.org/wiki/Thomas Mitchell,Unknown,Unknown
1940 (13th),Walter Brennan,The Westerner,BestSupportingActor,https://en.wikipedia.org/wiki/Walter Brennan,"Lynn, Massachusetts, U.S.",1894
1941 (14th),Donald Crisp,How Green Was My Valley,BestSupportingActor,https://en.wikipedia.org/wiki/Donald Crisp,"Bow, London, England, UK",1882
1942 (15th),Van Heflin,Johnny Eager,BestSupportingActor,https://en.wikipedia.org/wiki/Van Heflin,"Walters, Oklahoma, U.S.",1908
1943 (16th),Charles Coburn,The More the Merrier,BestSupportingActor,https://en.wikipedia.org/wiki/Charles Coburn,"Macon, Georgia, U.S.",1877
1944 (17th),Barry Fitzgerald,Going My Way,BestSupportingActor,https://en.wikipedia.org/wiki/Barry Fitzgerald,"Dublin, Ireland",1888
1945 (18th),James Dunn,A Tree Grows in Brooklyn,BestSupportingActor,https://en.wikipedia.org/wiki/James Dunn,Unknown,Unknown
1946 (19th),Harold Russell,The Best Years of Our Lives,BestSupportingActor,https://en.wikipedia.org/wiki/Harold Russell,"North Sydney, Nova Scotia, Canada",1914
1947 (20th),Edmund Gwenn,Miracle on 34th Street,BestSupportingActor,https://en.wikipedia.org/wiki/Edmund Gwenn,"Wandsworth, London, UK[1]",1877
1948 (21st),Walter Huston,The Treasure of the Sierra Madre,BestSupportingActor,https://en.wikipedia.org/wiki/Walter Huston,"Toronto, Ontario, Canada",1883
1949 (22nd),Dean Jagger,Twelve O'Clock High,BestSupportingActor,https://en.wikipedia.org/wiki/Dean Jagger,"Columbus Grove or Lima, Ohio, U.S.",1903
1950 (23rd),George Sanders,All About Eve,BestSupportingActor,https://en.wikipedia.org/wiki/George Sanders,"Saint Petersburg, Russian Empire",1906
