Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year
1936 ,9th,Gale Sondergaard,Anthony Adverse,Best Supporting Actress,https://en.wikipedia.org/wiki/Gale Sondergaard,"Litchfield, Minnesota, U.S.",1899
1937 ,10th,Alice Brady,In Old Chicago,Best Supporting Actress,https://en.wikipedia.org/wiki/Alice Brady,"New York City, U.S.",1892
1938 ,11th,Fay Bainter,Jezebel,Best Supporting Actress,https://en.wikipedia.org/wiki/Fay Bainter,"Los Angeles, California, U.S.[1]",1893
1939 ,12th,Hattie McDaniel,Gone with the Wind,Best Supporting Actress,https://en.wikipedia.org/wiki/Hattie McDaniel,"Wichita, Kansas, U.S.",1893
1940 ,13th,Jane Darwell,The Grapes of Wrath,Best Supporting Actress,https://en.wikipedia.org/wiki/Jane Darwell,"Palmyra, Missouri, U.S.",1879
1941 ,14th,Mary Astor,The Great Lie,Best Supporting Actress,https://en.wikipedia.org/wiki/Mary Astor,"Quincy, Illinois, U.S.",1906
1942 ,15th,Teresa Wright,Mrs. Miniver,Best Supporting Actress,https://en.wikipedia.org/wiki/Teresa Wright,"Harlem, New York, U.S.",1918
1943 ,16th,Katina Paxinou,For Whom the Bell Tolls,Best Supporting Actress,https://en.wikipedia.org/wiki/Katina Paxinou,"Piraeus, Greece",Unknown
1944 ,17th,Ethel Barrymore,None but the Lonely Heart,Best Supporting Actress,https://en.wikipedia.org/wiki/Ethel Barrymore,"Philadelphia, Pennsylvania, U.S.",1879
1945 ,18th,Anne Revere,National Velvet,Best Supporting Actress,https://en.wikipedia.org/wiki/Anne Revere,"New York City, New York, U.S.",1903
1946 ,19th,Anne Baxter,The Razor's Edge,Best Supporting Actress,https://en.wikipedia.org/wiki/Anne Baxter,"Michigan City, Indiana, U.S.",1923
1947 ,20th,Celeste Holm,Gentleman's Agreement,Best Supporting Actress,https://en.wikipedia.org/wiki/Celeste Holm,"Manhattan, New York, U.S.",1917
1948 ,21st,Claire Trevor,Key Largo,Best Supporting Actress,https://en.wikipedia.org/wiki/Claire Trevor,"New York City, U.S.",1910
1949 ,22nd,Mercedes McCambridge,All the King's Men,Best Supporting Actress,https://en.wikipedia.org/wiki/Mercedes McCambridge,"Joliet, Illinois, U.S.",1916
1950 ,23rd,Josephine Hull,Harvey,Best Supporting Actress,https://en.wikipedia.org/wiki/Josephine Hull,"Newtonville, Massachusetts, U.S.",1877
1951 ,24th,Kim Hunter,A Streetcar Named Desire,Best Supporting Actress,https://en.wikipedia.org/wiki/Kim Hunter,"Detroit, Michigan, U.S.",1922
1952 ,25th,Gloria Grahame,The Bad and the Beautiful,Best Supporting Actress,https://en.wikipedia.org/wiki/Gloria Grahame,"Los Angeles, California, U.S.",1923
1953 ,26th,Donna Reed,From Here to Eternity,Best Supporting Actress,https://en.wikipedia.org/wiki/Donna Reed,"Denison, Iowa, U.S.",1921
