Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1927/28,1st,Janet Gaynor,7th HeavenStreet AngelSunrise: A Song of Two Humans,Best Actress,https://en.wikipedia.org/wiki/Janet Gaynor,https://upload.wikimedia.org/wikipedia/commons/c/c0/Janet-Gaynor_1931.jpg,"Germantown, Pennsylvania, U.S.",1906,22
1928/29,2nd,Mary Pickford,Coquette,Best Actress,https://en.wikipedia.org/wiki/Mary Pickford,https://upload.wikimedia.org/wikipedia/commons/8/88/Mary_Pickford_cph.3c17995u.jpg,"Toronto, Ontario, Canada",1892,37
1929/30,3rd,Norma Shearer,The Divorcee,Best Actress,https://en.wikipedia.org/wiki/Norma Shearer,https://upload.wikimedia.org/wikipedia/commons/3/3a/RH_Louise_Norma_Shearer.png,"Montreal, Quebec, Canada",1902,28
1930/31,4th,Marie Dressler,Min and Bill,Best Actress,https://en.wikipedia.org/wiki/Marie Dressler,https://upload.wikimedia.org/wikipedia/en/a/a6/Marie_Dressler_-_1930.jpg,"Cobourg, Ontario, Canada",1868,63
1931/32,5th,Helen Hayes,The Sin of Madelon Claudet,Best Actress,https://en.wikipedia.org/wiki/Helen Hayes,https://upload.wikimedia.org/wikipedia/commons/9/9d/Promotional_photograph_of_Helen_Hayes.jpg,"Washington, D.C., U.S.",1900,32
1932/33,6th,Katharine Hepburn,Morning Glory,Best Actress,https://en.wikipedia.org/wiki/Katharine Hepburn,https://upload.wikimedia.org/wikipedia/commons/0/08/Katharine_Hepburn_promo_pic.jpg,"Hartford, Connecticut, U.S.",1907,26
1934,7th,Claudette Colbert,It Happened One Night,Best Actress,https://en.wikipedia.org/wiki/Claudette Colbert,https://upload.wikimedia.org/wikipedia/commons/4/4f/Claudette_Colbert_in_The_Misleading_Lady.jpg,"Saint-Mandé, France",1903,31
1935,8th,Bette Davis,Dangerous,Best Actress,https://en.wikipedia.org/wiki/Bette Davis,https://upload.wikimedia.org/wikipedia/commons/b/b2/Bette_Davis.jpg,"Lowell, Massachusetts, U.S.",1908,27
1936,9th,Luise Rainer,The Great Ziegfeld,Best Actress,https://en.wikipedia.org/wiki/Luise Rainer,https://upload.wikimedia.org/wikipedia/commons/d/d0/Luise_Rainer_-_1941.jpg,"Düsseldorf, Prussia, German Empire",1910,26
1937,10th,Luise Rainer,The Good Earth,Best Actress,https://en.wikipedia.org/wiki/Luise Rainer,https://upload.wikimedia.org/wikipedia/commons/d/d0/Luise_Rainer_-_1941.jpg,"Düsseldorf, Prussia, German Empire",1910,27
1938,11th,Bette Davis,Jezebel,Best Actress,https://en.wikipedia.org/wiki/Bette Davis,https://upload.wikimedia.org/wikipedia/commons/b/b2/Bette_Davis.jpg,"Lowell, Massachusetts, U.S.",1908,30
1939,12th,Vivien Leigh,Gone with the Wind,Best Actress,https://en.wikipedia.org/wiki/Vivien Leigh,https://upload.wikimedia.org/wikipedia/commons/b/b6/Vivien_Leigh_Scarlet.jpg,"Darjeeling, Bengal Presidency, British India",1913,26
1940,13th,Ginger Rogers,Kitty Foyle,Best Actress,https://en.wikipedia.org/wiki/Ginger Rogers,https://upload.wikimedia.org/wikipedia/commons/e/ee/GINGERogers.jpg,"Independence, Missouri, U.S.",1911,29
