Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1936 ,9th,Walter Brennan,Come and Get It,Best Supporting Actor,https://en.wikipedia.org/wiki/Walter Brennan,https://upload.wikimedia.org/wikipedia/commons/5/5a/Walter_brennan_real_mccoys_1958.JPG,"Lynn, Massachusetts, U.S.",1894,42
1937 ,10th,Joseph Schildkraut,The Life of Emile Zola,Best Supporting Actor,https://en.wikipedia.org/wiki/Joseph Schildkraut,https://upload.wikimedia.org/wikipedia/commons/5/5e/Joseph_Schildkraut_1953.jpg,"Vienna, Austria-Hungary (now Austria)",1896,41
1938 ,11th,Walter Brennan,Kentucky,Best Supporting Actor,https://en.wikipedia.org/wiki/Walter Brennan,https://upload.wikimedia.org/wikipedia/commons/5/5a/Walter_brennan_real_mccoys_1958.JPG,"Lynn, Massachusetts, U.S.",1894,44
1939 ,12th,Thomas Mitchell,Stagecoach,Best Supporting Actor,https://en.wikipedia.org/wiki/Thomas Mitchell,Unknown,Unknown,Unknown,Unknown
1940 ,13th,Walter Brennan,The Westerner,Best Supporting Actor,https://en.wikipedia.org/wiki/Walter Brennan,https://upload.wikimedia.org/wikipedia/commons/5/5a/Walter_brennan_real_mccoys_1958.JPG,"Lynn, Massachusetts, U.S.",1894,46
1941 ,14th,Donald Crisp,How Green Was My Valley,Best Supporting Actor,https://en.wikipedia.org/wiki/Donald Crisp,https://upload.wikimedia.org/wikipedia/commons/1/1d/Donald_Crisp_in_Shining_Victory_trailer.jpg,"Bow, London, England, UK",1882,59
1942 ,15th,Van Heflin,Johnny Eager,Best Supporting Actor,https://en.wikipedia.org/wiki/Van Heflin,https://upload.wikimedia.org/wikipedia/commons/e/eb/Heflin%2C_Van.jpg,"Walters, Oklahoma, U.S.",1908,34
1943 ,16th,Charles Coburn,The More the Merrier,Best Supporting Actor,https://en.wikipedia.org/wiki/Charles Coburn,https://upload.wikimedia.org/wikipedia/commons/2/21/Charles_Coburn_in_Rhapsody_in_Blue_trailer.jpg,"Macon, Georgia, U.S.",1877,66
1944 ,17th,Barry Fitzgerald,Going My Way,Best Supporting Actor,https://en.wikipedia.org/wiki/Barry Fitzgerald,https://upload.wikimedia.org/wikipedia/commons/0/00/Barry_Fitzgerald_1945.jpg,"Dublin, Ireland",1888,56
1945 ,18th,James Dunn,A Tree Grows in Brooklyn,Best Supporting Actor,https://en.wikipedia.org/wiki/James Dunn,Unknown,Unknown,Unknown,Unknown
1946 ,19th,Harold Russell,The Best Years of Our Lives,Best Supporting Actor,https://en.wikipedia.org/wiki/Harold Russell,https://upload.wikimedia.org/wikipedia/commons/a/af/Harold_Russell_still.jpg,"North Sydney, Nova Scotia, Canada",1914,32
1947 ,20th,Edmund Gwenn,Miracle on 34th Street,Best Supporting Actor,https://en.wikipedia.org/wiki/Edmund Gwenn,https://upload.wikimedia.org/wikipedia/commons/b/bf/Edmund_Gwenn_1953.jpg,"Wandsworth, London, UK[1]",1877,70
1948 ,21st,Walter Huston,The Treasure of the Sierra Madre,Best Supporting Actor,https://en.wikipedia.org/wiki/Walter Huston,https://upload.wikimedia.org/wikipedia/en/3/36/Walter_Huston_-_1950.jpg,"Toronto, Ontario, Canada",1883,65
