Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
1936 ,9th,Gale Sondergaard,Anthony Adverse,Best Supporting Actress,https://en.wikipedia.org/wiki/Gale Sondergaard,https://upload.wikimedia.org/wikipedia/commons/c/c5/Gale_Sondergaard_in_Dramatic_School_trailer.JPG,"Litchfield, Minnesota, U.S.",1899,37
1937 ,10th,Alice Brady,In Old Chicago,Best Supporting Actress,https://en.wikipedia.org/wiki/Alice Brady,https://upload.wikimedia.org/wikipedia/commons/c/ca/ALICE_BRADY_From_Stars_of_the_Photoplay.jpg,"New York City, U.S.",1892,45
1938 ,11th,Fay Bainter,Jezebel,Best Supporting Actress,https://en.wikipedia.org/wiki/Fay Bainter,https://upload.wikimedia.org/wikipedia/commons/3/3e/Fay_Bainter_in_Jezebel_trailer.jpg,"Los Angeles, California, U.S.[1]",1893,45
1939 ,12th,Hattie McDaniel,Gone with the Wind,Best Supporting Actress,https://en.wikipedia.org/wiki/Hattie McDaniel,https://upload.wikimedia.org/wikipedia/commons/8/82/1941hattie.jpg,"Wichita, Kansas, U.S.",1895,44
1940 ,13th,Jane Darwell,The Grapes of Wrath,Best Supporting Actress,https://en.wikipedia.org/wiki/Jane Darwell,https://upload.wikimedia.org/wikipedia/commons/a/a1/Grapes_of_Wrath%2C_The_-_%28Original_Trailer%29_-_02.png,"Palmyra, Missouri, U.S.",1879,61
1941 ,14th,Mary Astor,The Great Lie,Best Supporting Actress,https://en.wikipedia.org/wiki/Mary Astor,https://upload.wikimedia.org/wikipedia/commons/2/2b/Mary_Astor-1930s.JPG,"Quincy, Illinois, U.S.",1906,35
1942 ,15th,Teresa Wright,Mrs. Miniver,Best Supporting Actress,https://en.wikipedia.org/wiki/Teresa Wright,https://upload.wikimedia.org/wikipedia/commons/1/1f/Studio_publicity_Teresa_Wright.jpg,"Harlem, New York, U.S.",1918,24
1943 ,16th,Katina Paxinou,For Whom the Bell Tolls,Best Supporting Actress,https://en.wikipedia.org/wiki/Katina Paxinou,https://upload.wikimedia.org/wikipedia/en/2/29/Katinapaxinos.jpg,"Piraeus, Greece",Unknown,Unknown
1944 ,17th,Ethel Barrymore,None but the Lonely Heart,Best Supporting Actress,https://en.wikipedia.org/wiki/Ethel Barrymore,https://upload.wikimedia.org/wikipedia/commons/2/2d/EthelBarrymore1896.jpg,"Philadelphia, Pennsylvania, U.S.",1879,65
1945 ,18th,Anne Revere,National Velvet,Best Supporting Actress,https://en.wikipedia.org/wiki/Anne Revere,https://upload.wikimedia.org/wikipedia/commons/0/03/Studio_publicity_Anne_Revere.jpg,"New York City, New York, U.S.",1903,42
1946 ,19th,Anne Baxter,The Razor's Edge,Best Supporting Actress,https://en.wikipedia.org/wiki/Anne Baxter,https://upload.wikimedia.org/wikipedia/commons/0/0b/Anne_Baxter_publicity_photo.JPG,"Michigan City, Indiana, U.S.",1923,23
1947 ,20th,Celeste Holm,Gentleman's Agreement,Best Supporting Actress,https://en.wikipedia.org/wiki/Celeste Holm,https://upload.wikimedia.org/wikipedia/commons/7/72/Celeste_Holm-1955.jpg,"Manhattan, New York, U.S.",1917,30
1948 ,21st,Claire Trevor,Key Largo,Best Supporting Actress,https://en.wikipedia.org/wiki/Claire Trevor,https://upload.wikimedia.org/wikipedia/commons/4/4a/Claire_Trevor-still.jpg,"New York City, U.S.",1910,38
1949 ,22nd,Mercedes McCambridge,All the King's Men,Best Supporting Actress,https://en.wikipedia.org/wiki/Mercedes McCambridge,https://upload.wikimedia.org/wikipedia/commons/6/60/Mercedes_McCambridge_-_1950.jpg,"Joliet, Illinois, U.S.",1916,33
1950 ,23rd,Josephine Hull,Harvey,Best Supporting Actress,https://en.wikipedia.org/wiki/Josephine Hull,https://upload.wikimedia.org/wikipedia/commons/0/00/Studio_publicity_Josephine_Hull.jpg,"Newtonville, Massachusetts, U.S.",1877,73
